epoch;kl_loss;reconstruction_loss;total_loss;val_kl_loss;val_reconstruction_loss;val_total_loss
0;2.933290719985962;685.2055053710938;688.13916015625;NA;NA;NA
1;3.733031988143921;668.2443237304688;671.9769897460938;NA;NA;NA
2;3.5629096031188965;666.79931640625;670.3619995117188;NA;NA;NA
3;5.5559916496276855;654.1250610351562;659.6812133789062;NA;NA;NA
4;5.520727634429932;652.1925048828125;657.7135009765625;NA;NA;NA
5;5.438826084136963;651.9050903320312;657.3440551757812;NA;NA;NA
6;5.38707160949707;651.59716796875;656.9839477539062;NA;NA;NA
7;5.313547134399414;651.5471801757812;656.8609619140625;NA;NA;NA
8;5.255450248718262;651.4465942382812;656.7022705078125;NA;NA;NA
9;5.174661159515381;651.4277954101562;656.6026611328125;NA;NA;NA
10;5.105740070343018;651.3822631835938;656.4877319335938;NA;NA;NA
11;5.0620436668396;651.3463745117188;656.4083251953125;NA;NA;NA
12;4.984202861785889;651.26708984375;656.2516479492188;NA;NA;NA
13;4.915034294128418;651.1962280273438;656.1111450195312;NA;NA;NA
14;4.84523868560791;651.2171020507812;656.0620727539062;NA;NA;NA
15;4.773913383483887;651.1195068359375;655.8931884765625;NA;NA;NA
16;4.712596893310547;651.150146484375;655.8629760742188;NA;NA;NA
17;4.646109104156494;651.1148071289062;655.7607421875;NA;NA;NA
18;4.578465938568115;651.0564575195312;655.6351318359375;NA;NA;NA
19;4.515843868255615;651.05908203125;655.574951171875;NA;NA;NA
20;4.4537272453308105;651.0475463867188;655.5011596679688;NA;NA;NA
21;4.391984939575195;650.9862670898438;655.3785400390625;NA;NA;NA
22;4.358151912689209;650.9686889648438;655.32666015625;NA;NA;NA
23;4.3326215744018555;650.9209594726562;655.2536010742188;NA;NA;NA
24;4.309255599975586;650.8658447265625;655.1746826171875;NA;NA;NA
25;4.272179126739502;650.9189453125;655.191162109375;NA;NA;NA
0;4.263694763183594;650.8776245117188;655.1414184570312;NA;NA;NA
1;4.256160259246826;650.8013305664062;655.0577392578125;NA;NA;NA
2;4.24501371383667;650.7894287109375;655.034423828125;NA;NA;NA
3;4.2449541091918945;650.7935791015625;655.0386352539062;NA;NA;NA
4;4.235319137573242;650.718017578125;654.9532470703125;NA;NA;NA
5;4.223952293395996;650.7024536132812;654.9263916015625;NA;NA;NA
6;4.225950241088867;650.6885986328125;654.9146118164062;NA;NA;NA
7;4.212369441986084;650.6939697265625;654.9065551757812;NA;NA;NA
8;4.212696552276611;650.6627807617188;654.8755493164062;NA;NA;NA
9;4.20305871963501;650.6707763671875;654.8738403320312;NA;NA;NA
10;4.2052412033081055;650.6417846679688;654.8471069335938;NA;NA;NA
11;4.207768440246582;650.6694946289062;654.87744140625;NA;NA;NA
12;4.203932762145996;650.5940551757812;654.798095703125;NA;NA;NA
13;4.200291156768799;650.618408203125;654.818603515625;NA;NA;NA
14;4.191565036773682;650.5989990234375;654.7900390625;NA;NA;NA
15;4.185029029846191;650.6066284179688;654.7918090820312;NA;NA;NA
16;4.1859941482543945;650.5811767578125;654.7672729492188;NA;NA;NA
17;4.173942565917969;650.5570678710938;654.7313842773438;NA;NA;NA
18;4.179450035095215;650.5546264648438;654.7340698242188;NA;NA;NA
19;4.178627014160156;650.5256958007812;654.7042236328125;NA;NA;NA
20;4.175340175628662;650.5606079101562;654.7356567382812;NA;NA;NA
21;4.166650772094727;650.5413818359375;654.7078247070312;NA;NA;NA
22;4.169306755065918;650.5158081054688;654.68505859375;NA;NA;NA
23;4.171679973602295;650.5421752929688;654.7141723632812;NA;NA;NA
24;4.1688361167907715;650.4985961914062;654.6671142578125;NA;NA;NA
25;4.173103332519531;650.504638671875;654.6777954101562;NA;NA;NA
26;4.15000057220459;650.4888305664062;654.6390380859375;NA;NA;NA
27;4.152254581451416;650.483154296875;654.6355590820312;NA;NA;NA
28;4.160423278808594;650.5183715820312;654.6787719726562;NA;NA;NA
29;4.154815673828125;650.4699096679688;654.6244506835938;NA;NA;NA
30;4.155715465545654;650.4573364257812;654.613037109375;NA;NA;NA
31;4.1583685874938965;650.4766235351562;654.6351318359375;NA;NA;NA
32;4.148619651794434;650.4540405273438;654.6026611328125;NA;NA;NA
33;4.155224323272705;650.4378051757812;654.5929565429688;NA;NA;NA
34;4.144627094268799;650.4320068359375;654.5765380859375;NA;NA;NA
35;4.149075508117676;650.4334106445312;654.5827026367188;NA;NA;NA
36;4.14378023147583;650.39990234375;654.5436401367188;NA;NA;NA
37;4.153895854949951;650.3704223632812;654.52490234375;NA;NA;NA
38;4.1490159034729;650.4041748046875;654.5530395507812;NA;NA;NA
39;4.140812397003174;650.3953247070312;654.5360717773438;NA;NA;NA
40;4.139798164367676;650.3866577148438;654.5262451171875;NA;NA;NA
41;4.1373610496521;650.4053955078125;654.5427856445312;NA;NA;NA
42;4.141727924346924;650.3934936523438;654.5350952148438;NA;NA;NA
43;4.1446852684021;650.3916015625;654.536376953125;NA;NA;NA
