epoch;kl_loss;reconstruction_loss;total_loss;val_kl_loss;val_reconstruction_loss;val_total_loss
0;3.05033540725708;687.2190551757812;690.26904296875;NA;NA;NA
1;5.67169189453125;664.2560424804688;669.927734375;NA;NA;NA
2;5.556481838226318;652.865478515625;658.421875;NA;NA;NA
3;5.140254020690918;651.9659423828125;657.1063232421875;NA;NA;NA
4;4.912389278411865;651.780517578125;656.6932983398438;NA;NA;NA
5;4.758177757263184;651.5192260742188;656.2777099609375;NA;NA;NA
6;4.64605712890625;651.41552734375;656.0609741210938;NA;NA;NA
7;4.540487289428711;651.3268432617188;655.8672485351562;NA;NA;NA
8;4.46408748626709;651.2911987304688;655.7555541992188;NA;NA;NA
9;4.359781265258789;651.1546020507812;655.5140380859375;NA;NA;NA
10;4.300654888153076;651.1322631835938;655.4328002929688;NA;NA;NA
11;4.251104354858398;651.0390014648438;655.2900390625;NA;NA;NA
12;4.194185256958008;651.016845703125;655.2110595703125;NA;NA;NA
13;4.160921096801758;650.9515380859375;655.1123657226562;NA;NA;NA
14;4.121711730957031;650.8848876953125;655.0066528320312;NA;NA;NA
15;4.1033477783203125;650.8677368164062;654.9710693359375;NA;NA;NA
16;4.099798679351807;650.8124389648438;654.9119873046875;NA;NA;NA
17;4.092000961303711;650.7606201171875;654.8528442382812;NA;NA;NA
18;4.092004299163818;650.6884765625;654.7807006835938;NA;NA;NA
19;4.08245325088501;650.6929321289062;654.775634765625;NA;NA;NA
20;4.091795444488525;650.6155395507812;654.7073364257812;NA;NA;NA
21;4.087031841278076;650.60546875;654.6924438476562;NA;NA;NA
22;4.086590766906738;650.5677490234375;654.6544189453125;NA;NA;NA
23;4.083113193511963;650.53173828125;654.61474609375;NA;NA;NA
24;4.090845584869385;650.5130615234375;654.6038818359375;NA;NA;NA
25;4.10267972946167;650.4964599609375;654.5990600585938;NA;NA;NA
26;4.105746746063232;650.4502563476562;654.5556030273438;NA;NA;NA
27;4.1074676513671875;650.423828125;654.5310668945312;NA;NA;NA
28;4.1067986488342285;650.415771484375;654.5225219726562;NA;NA;NA
29;4.107546329498291;650.3892822265625;654.4968872070312;NA;NA;NA
30;4.115962505340576;650.3824462890625;654.4987182617188;NA;NA;NA
31;4.110444068908691;650.3368530273438;654.4471435546875;NA;NA;NA
32;4.131358623504639;650.3251342773438;654.45654296875;NA;NA;NA
33;4.126819610595703;650.3240356445312;654.4506225585938;NA;NA;NA
34;4.127901077270508;650.2965087890625;654.4246215820312;NA;NA;NA
35;4.136981010437012;650.2588500976562;654.3958740234375;NA;NA;NA
36;4.137536525726318;650.2163696289062;654.353515625;NA;NA;NA
37;4.1275739669799805;650.2316284179688;654.3591918945312;NA;NA;NA
