epoch,loss,val_loss
0,0.04890652000904083,0.03190290927886963
1,0.027188071981072426,0.024238379672169685
2,0.023079318925738335,0.022331662476062775
3,0.02113298326730728,0.020500553771853447
4,0.019524091854691505,0.01906551420688629
5,0.018202684819698334,0.017801007255911827
6,0.01729154773056507,0.017065593972802162
7,0.01665520668029785,0.016458047553896904
8,0.01612943410873413,0.016140032559633255
9,0.015643853694200516,0.015635844320058823
10,0.015245883725583553,0.01523534581065178
11,0.014922634698450565,0.014915354549884796
12,0.014626136049628258,0.014730109833180904
13,0.014395840466022491,0.014447856694459915
14,0.014163893647491932,0.014373349025845528
15,0.013952790759503841,0.014111209660768509
16,0.01377817988395691,0.013929505832493305
17,0.013581584207713604,0.013731034472584724
18,0.013410293497145176,0.013602359220385551
19,0.01322917826473713,0.01344001293182373
20,0.01309487596154213,0.013317933306097984
21,0.012929903343319893,0.013179177418351173
22,0.012806127779185772,0.013102124445140362
23,0.012672465294599533,0.012960120104253292
24,0.012545766308903694,0.012798153795301914
25,0.012433636002242565,0.012812771834433079
26,0.012313752435147762,0.01266426406800747
27,0.012215056456625462,0.012503927573561668
28,0.012127713300287724,0.01245551835745573
29,0.012041566893458366,0.012376667000353336
30,0.011981196701526642,0.012344310991466045
31,0.0119108771905303,0.012277258560061455
32,0.011828637681901455,0.01222931407392025
33,0.011770916171371937,0.01220215205103159
34,0.01172398030757904,0.012100275605916977
35,0.011663801036775112,0.012093039229512215
36,0.011620993725955486,0.012005358003079891
37,0.011573596857488155,0.012058879248797894
38,0.011514210142195225,0.011948064900934696
39,0.011474456638097763,0.012018825858831406
