epoch,loss,val_loss
0,0.04140211269259453,0.033557575196027756
1,0.03166207671165466,0.030910156667232513
2,0.029613832011818886,0.028605135157704353
3,0.027318071573972702,0.026427196338772774
4,0.025234412401914597,0.024291137233376503
5,0.023896927013993263,0.023643672466278076
6,0.022887010127305984,0.022775478661060333
7,0.02250012382864952,0.022716324776411057
8,0.02232561819255352,0.022360993549227715
9,0.022198110818862915,0.02235015295445919
10,0.022026918828487396,0.02187175862491131
11,0.021603072062134743,0.02163071744143963
12,0.021428676322102547,0.021576138213276863
13,0.021353641524910927,0.021480802446603775
14,0.021287886425852776,0.021454408764839172
15,0.02123076654970646,0.02147918939590454
16,0.021194158121943474,0.021341240033507347
17,0.021154839545488358,0.02135554328560829
18,0.021131347864866257,0.021453531458973885
19,0.021092819049954414,0.02132480964064598
20,0.021065473556518555,0.021232828497886658
21,0.02103026956319809,0.021288176998496056
22,0.02100597880780697,0.021186647936701775
23,0.02097172662615776,0.02120479941368103
24,0.02094189263880253,0.021166212856769562
25,0.020912030711770058,0.021123921498656273
26,0.02088559977710247,0.021099038422107697
27,0.02085866965353489,0.021100059151649475
28,0.020841604098677635,0.02103319950401783
29,0.02081347070634365,0.02101079560816288
30,0.020784439519047737,0.021012453362345695
31,0.020750796422362328,0.02099069580435753
32,0.020734116435050964,0.021025152876973152
33,0.020711749792099,0.020875658839941025
34,0.02069111354649067,0.020901747047901154
35,0.020677469670772552,0.020895542576909065
36,0.02064552530646324,0.021038401871919632
37,0.02062617801129818,0.02085016667842865
38,0.020607752725481987,0.0208747535943985
39,0.02058059722185135,0.020797280594706535
